Molecule,Concentration_nM,Response,SampleType,Plate,Well,Date,Operator
A,0.1,0.98,Treated,Plate1,A1,2024-06-01,alice
A,0.3,0.95,Treated,Plate1,A2,2024-06-01,alice
A,1,0.90,Treated,Plate1,A3,2024-06-01,alice
A,3,0.80,Treated,Plate1,A4,2024-06-01,alice
A,10,0.55,Treated,Plate1,A5,2024-06-01,alice
A,30,0.30,Treated,Plate1,A6,2024-06-01,alice
A,100,0.10,Treated,Plate1,A7,2024-06-01,alice
B,0.1,0.99,Treated,Plate1,B1,2024-06-01,bob
B,0.3,0.97,Treated,Plate1,B2,2024-06-01,bob
B,1,0.93,Treated,Plate1,B3,2024-06-01,bob
B,3,0.85,Treated,Plate1,B4,2024-06-01,bob
B,10,0.60,Treated,Plate1,B5,2024-06-01,bob
B,30,0.35,Treated,Plate1,B6,2024-06-01,bob
B,100,0.12,Treated,Plate1,B7,2024-06-01,bob
C,0.1,0.97,Treated,Plate2,C1,2024-06-02,carol
C,0.3,0.94,Treated,Plate2,C2,2024-06-02,carol
C,1,0.88,Treated,Plate2,C3,2024-06-02,carol
C,3,0.75,Treated,Plate2,C4,2024-06-02,carol
C,10,0.50,Treated,Plate2,C5,2024-06-02,carol
C,30,0.28,Treated,Plate2,C6,2024-06-02,carol
C,100,0.09,Treated,Plate2,C7,2024-06-02,carol
Control,0,1.00,Control,Plate1,H12,2024-06-01,alice
Control,0,1.00,Control,Plate1,H11,2024-06-01,bob
Control,0,1.00,Control,Plate2,H12,2024-06-02,carol
PositiveControl,0.1,0.92,PositiveControl,Plate1,G1,2024-06-01,alice
PositiveControl,0.3,0.88,PositiveControl,Plate1,G2,2024-06-01,alice
PositiveControl,1,0.80,PositiveControl,Plate1,G3,2024-06-01,alice
PositiveControl,3,0.60,PositiveControl,Plate1,G4,2024-06-01,alice
PositiveControl,10,0.30,PositiveControl,Plate1,G5,2024-06-01,alice
PositiveControl,30,0.12,PositiveControl,Plate1,G6,2024-06-01,alice
PositiveControl,100,0.05,PositiveControl,Plate1,G7,2024-06-01,alice
PositiveControl,0.1,0.93,PositiveControl,Plate1,F1,2024-06-01,bob
PositiveControl,0.3,0.89,PositiveControl,Plate1,F2,2024-06-01,bob
PositiveControl,1,0.81,PositiveControl,Plate1,F3,2024-06-01,bob
PositiveControl,3,0.62,PositiveControl,Plate1,F4,2024-06-01,bob
PositiveControl,10,0.32,PositiveControl,Plate1,F5,2024-06-01,bob
PositiveControl,30,0.13,PositiveControl,Plate1,F6,2024-06-01,bob
PositiveControl,100,0.06,PositiveControl,Plate1,F7,2024-06-01,bob
PositiveControl,0.1,0.91,PositiveControl,Plate2,E1,2024-06-02,carol
PositiveControl,0.3,0.87,PositiveControl,Plate2,E2,2024-06-02,carol
PositiveControl,1,0.79,PositiveControl,Plate2,E3,2024-06-02,carol
PositiveControl,3,0.59,PositiveControl,Plate2,E4,2024-06-02,carol
PositiveControl,10,0.29,PositiveControl,Plate2,E5,2024-06-02,carol
PositiveControl,30,0.11,PositiveControl,Plate2,E6,2024-06-02,carol
PositiveControl,100,0.04,PositiveControl,Plate2,E7,2024-06-02,carol
